SUBD_DESC,median_price,n_parcels,median_size,median_dur_owned
ARCHDALE SEC 2/SEC 1 REV,0,17,0.538,15.6767123287671
ARCHDALE SEC 3,0,9,0.637,11.8054794520548
ARCHER WDS SEC 01,0,18,0.4615,16.4
ARCHER WDS SEC 02,174750,10,0.526,23.4027397260274
ARCHER WDS SEC 03,124500,5,0.512,5.7013698630137
ARCHER WDS SEC 04,176000,15,0.516,16.6835616438356
ARCHER WDS SEC 05,40000,2,0.649,23.4027397260274
ARCHER WDS SEC 06,50000,18,0.5295,23.4027397260274
ARCHER WDS SEC 07,145000,13,0.477,14.8342465753425
ARCHER WDS SEC 08,0,7,0.532,23.4027397260274
ARDMORE HLS,11000,41,0.98,13.3041095890411
AREYS SPRING PRK,20000,115,0.258,13.2328767123288
ARGONNE HILLS,130000,92,0.463,12.5561643835616
ARMSTRONG ACRES SEC 1,88500,4,0.504,21.9369863013699
ARNOLDO,231000,22,0.412,8.38767123287671
ARNOLDO RESUB,109000,8,0.36,13.3890410958904
ARNOLDO SEC 2,0,6,0.46,3.54794520547945
ARRINGDON,0,10,1.7485,11.6753424657534
ASHFIELD PLC PH 01,256000,20,0.2985,10.3054794520548
ASHFIELD PLC PH 02 & 04-A,285500,21,0.261,7.70958904109589
ASHLEY FRST EAST PH 1-A,0,19,0.209,23.4027397260274
ASHLEY FRST EAST PH 2-B,157000,42,0.198,17.972602739726
ASHLEY FRST EAST PH 2-C,153000,43,0.203,7.28767123287671
ASHLEY FRST WEST,171000,35,0.203,21.772602739726
ASHLEY FRST WEST PH 2-A,151500,30,0.203,21.8109589041096
ASHLEY FRST WEST PH 2-B,185000,43,0.21,14.3698630136986
ASHTON HALL P-1A1,285000,9,0.2,6.92191780821918
ASHTON HALL P-1A2/1A3/1A4,263000,93,0.202,7.54246575342466
ASHTON HALL P-1B/AMTY CTR,0,1,3.966,
ASHTON HALL P-2/ 102-123,277500,22,0.208,5.3013698630137
ASHTON HALL P-3/4 211-318,261250,106,0.183,6.29315068493151
ASHTON HALL P-5/6,208000,116,0.159,6.22328767123288
ASHWORTH ESTATES PH 2,380000,18,0.489,12.9643835616438
ATC EAST HOTEL/LT#5A,0,7,0,5.2
ATHENS VLG,0,35,0.207,19.2616438356164
ATKA COURT,108000,11,0.311,5.38356164383562
AUBURN COMM/OPN SPC ---SF,0,19,0.797,18.313698630137
AUBURN COMM/OPN SPC -TWNS,0,4,1.941,18.1054794520548
AUBURN PD-05A P-01,241250,32,0.2365,10.2027397260274
AUBURN PD-05A P-02,255000,23,0.185,10.2904109589041
AUBURN PD-05A P-02B,265250,26,0.231,7.96438356164384
AUBURN PD-05B ---- S-01,3.3e+07,1,25.342,
AUBURN PD-05B P-01 S-05B,181000,4,0.121,17.4575342465753
AUBURN PD-05B P-01 S-06,222000,10,0.1495,3.83013698630137
AUBURN PD-05B P-01 S-07,184000,10,0.121,9.50958904109589
AUBURN PD-05B P-01 S-08,195000,14,0.1135,4.25479452054794
AUBURN PD-05B P-01 S-09,188500,12,0.1155,8.67945205479452
AUBURN PD-05B P-02 S-01,185750,12,0.1135,5.41506849315069
AUBURN PD-05B P-02 S-02,205250,14,0.11,5.3013698630137
AUBURN PD-05B P-02 S-03,194000,13,0.114,4.7041095890411
AUBURN PD-05B P-02 S-04,211000,16,0.12,7.62191780821918
AUBURN PD-05B P-02 S-05,191000,11,0.193,9.20547945205479
AUBURN PD-05B P-02 S-06,206000,11,0.126,4.46301369863014
AUBURN PD-05C,209000,8,0.1755,9.9972602739726
AUBURN PD-07,283250,16,0.245,10.1452054794521
AUBURN PD-08,250500,9,0.226,17.3013698630137
AUBURN SQ TW PD-03 BLK-01,120000,5,0.03,6.33835616438356
AUBURN SQ TW PD-03 BLK-02,145500,6,0.03,4.62876712328767
AUBURN SQ TW PD-03 BLK-03,66750,4,0.034,7.37534246575343
AUBURN SQ TW PD-03 BLK-04,155250,4,0.034,2.42054794520548
AUBURN SQ TW PD-03 BLK-05,142500,4,0.034,8.37534246575343
AUBURN SQ TW PD-03 BLK-06,94000,4,0.034,1.45205479452055
AUBURN SQ TW PD-03 BLK-07,146000,5,0.03,3.79452054794521
AUBURN SQ TW PD-03 BLK-08,133000,6,0.03,7.7972602739726
AUBURN SQ TW PD-03 BLK-09,151500,6,0.03,
AUBURN SQ TW PD-03 BLK-10,152500,4,0.034,
AUBURN SQ TW PD-03 BLK-11,143000,4,0.034,4.25342465753425
AUBURN SQ TW PD-03 BLK-12,141000,5,0.03,6.33013698630137
AUBURN SQ TW PD-03 BLK-13,157000,6,0.03,
AUBURN SQ TW PD-03 BLK-14,152000,5,0.03,
AUBURN SQ TW PD-03 BLK-15,175000,5,0.03,5.03698630136986
AUBURN SQ TW PD-03 BLK-16,137250,4,0.034,
AUBURN SQ TW PD-03 BLK-17,142000,6,0.03,14.0986301369863
AUBURN SQ TW PD-03 BLK-18,165000,5,0.03,2.83972602739726
AUBURN SQ TW PD-03 BLK-19,190000,5,0.03,1.25479452054795
AUBURN SQ TW PD-03 BLK-20,138500,4,0.034,2.88493150684932
AUBURN SQ TW PD-03 BLK-21,154000,4,0.034,5.70958904109589
AUBURN SQ TW PD-03 BLK-22,150250,6,0.03,5.13150684931507
AUBURN SQ TW PD-03 BLK-23,139250,6,0.03,5.29315068493151
AUBURN SQ TW PD-03 BLK-24,147000,4,0.034,
AUBURN TW PRK@ BL01-08,153750,28,0.0565,3.96027397260274
AUBURN TW PRK@ BL09-13,157000,18,0.059,14.841095890411
AUBURN TW PRK@ BL14-23,161000,8,0.0655,6.6958904109589
AUBURN TW PRK@ BL15-22,172000,14,0.0645,5.24794520547945
AUBURN TW PRK@ PD-04 BL15,217500,2,0.0655,1.36986301369863
AUBURN TW PRK@ PD-04 BL16,167500,4,0.0565,
AUBURN TW PRK@ PD-04 BL21,157000,4,0.0605,12.0082191780822
AUBURN TW PRK@ PD-04 BL22,151750,4,0.059,9.68356164383562
AUBURN TW/CLOISTERS PD04A,218500,14,0.047,5.27945205479452
AUBURN TW/CLSTRS PD 3A&4B,240500,25,0.041,3.2986301369863
AUDUBON PRK,0,1,36.3,
AUDUBON PRK PH 1A,190000,42,0.2225,5.61917808219178
AUDUBON PRK PH 1B,191000,3,0.376,13.6219178082192
AUDUBON PRK PH 1C,183500,14,0.224,15.1452054794521
AUDUBON PRK PH 1D,182500,14,0.1895,12.6493150684932
AUDUBON PRK PH2 SEC1 BLKA,209500,32,0.198,4.63835616438356
AUDUBON PRK PH2 SEC1 BLKB,190750,28,0.21,15.5657534246575
AUDUBON PRK PH2 SEC2 BLKA,215000,25,0.22,16.2246575342466
AUDUBON PRK PH2 SEC2 BLKB,217000,11,0.27,3.86575342465753
AUDUBON PRK PH2 SEC3 BLKA,222000,40,0.235,10.7232876712329
AUDUBON PRK PH2 SEC3 BLKB,183750,8,0.2275,13.0520547945205
AUDUBON PRK PH2 SEC3 BLKC,203500,11,0.246,11.5095890410959
AUDUBON PRK PH2 SEC3 BLKD,232500,12,0.2795,9.93013698630137
AUDUBON PRK PH2 SEC4 BLKA,227750,24,0.2045,4.75479452054795
AUDUBON PRK PH2 SEC4 BLKB,220000,11,0.201,5.11506849315069
AUDUBON PRK PH3,224000,13,0.277,12.3808219178082
AUDUBON PRK PH4 SEC A,194500,24,0.1935,18.3479452054795
AUDUBON PRK PH4 SEC B,223000,10,0.691,4.54520547945206
AUTO MALL,0,6,0.733,3.51506849315069
AUTUMN RIDGE PH 1,249500,55,0.27,16.0164383561644
AUTUMN RIDGE PH 2,247000,43,0.263,12.386301369863
AUTUMN RIDGE PH 3,280000,43,0.279,11.0547945205479
AZALEA PRK SEC 1,118250,24,0.2355,14.2972602739726
BAKERS MILL,0,31,0.462,23.2246575342466
BALDWIN LOFTS CONDO,250000,13,0,7.71506849315069
BARBEE HGHTS,59000,39,0.515,16.4
BARBEE MDWS,165500,55,0.204,9.12054794520548
BAREFIELD AUCTION SVS,44500,20,0.3065,4.5013698630137
BARNES AV P-1      SGL FM,0,21,0.105,10.8684931506849
BAVARIAN VLG,0,5,0.515,
BAY CREEK CONDOS BL A-G,0,1,3.983,
BAY POINTE PH 01,179000,13,0.193,14.7630136986301
BAY POINTE PH 02,173250,28,0.188,6.45479452054795
BAY POINTE PH 03,182000,51,0.152,10.3945205479452
BEACON RDG PLAZA,0,1,1.79,
BEAUREGARD HGHTS SEC 1,93500,12,0.248,5.71095890410959
BEAUREGARD HGHTS SEC 2,101000,23,0.286,3.95342465753425
BEDFORD HILL,0,18,2.5895,17.9794520547945
BEEBE HGHTS,0,11,0.479,15.1753424657534
BEECH HILL 02 TWN SEC 01,110500,5,0.047,13.5520547945205
BEECH HILL 02 TWN SEC 02,108000,5,0.045,17.3150684931507
BEECH HILL 02 TWN SEC 03,0,5,0.041,23.4027397260274
BEECH HILL 02 TWN SEC 04,127000,5,0.049,12.0164383561644
BEECH HILL 02 TWN SEC 05,0,5,0.046,16.3945205479452
BEECH HILL 02 TWN SEC 06,109000,5,0.04,16.886301369863
BEECHWOOD HGHTS,0,29,0.338,23.4027397260274
BELCREST,215500,51,0.173,7.2
BELGREEN/PH:01,0,23,0.105,
BELGREEN/PH:02,0,69,0.109,
BELLEVUE DEV,169000,33,0.344,11.1712328767123
BELLINGHAM ESTATES SEC 1,2500,24,0.527,9.96986301369863
BELLINGHAM ESTATES SEC 2,52500,22,0.5405,15.0493150684932
BELMONT PRK,22750,10,0.8885,9.47123287671233
BELVINDALE,120000,41,0.248,5.8
BENT CRK SEC 1,224500,20,0.4995,23.4027397260274
BENT CRK SEC 2,0,11,0.471,17.0232876712329
BENT CRK SEC 3,251250,10,0.472,22.6547945205479
BENT CRK SEC 4,0,6,0.5885,23.4027397260274
BENTLEY RDG LOT 1/L-1A,0,2,8.9395,12.7328767123288
BENTWOOD PRK PH 01,0,9,0,1.79452054794521
BENTWOOD PRK PH 02,0,6,0,17.0684931506849
BENTWOOD PRK PH 03,0,3,0,3.59315068493151
BENTWOOD PRK PH 04,0,9,0,1.79452054794521
BENTWOOD PRK PH 05,0,18,0,1.79452054794521
BENTWOOD PRK PH 06,0,11,0,1.79452054794521
BENTWOOD PRK PH 07,4000,25,0,1.79452054794521
BENTWOOD PRK PH 08,0,26,0,1.79452054794521
BENTWOOD PRK PH 09,0,29,0,1.79452054794521
BERKLEY STREET TOWNHOMES,175500,2,0.047,6.62739726027397
BETHESDA HGHTS,0,21,0.496,16.4808219178082
BETHESDA HGHTS EXT,0,15,0.354,7.87671232876712
BEVERLY HLS,32500,26,0.3745,22.4602739726027
BILTMORE CONDOS/UT A-B-C,525000,4,0,5.54246575342466
BIVINS BEND,42500,10,2.2605,15.2301369863014
BIVINS RESIDENTIAL,280000,11,0.145,6.20684931506849
BLACKWELL HGHTS,0,75,0.268,16.6
BLACKWELL HGHTS/TR 04,0,10,0.2115,23.4027397260274
BLUE GRASS ESTATES,0,9,3.788,23.4027397260274
BLUE GRASS ESTATES SEC 2,0,9,4.465,23.4027397260274
BLUECREST TWHMS,93250,44,0.0195,7.38219178082192
BLUESTONE ESTATES SEC 01,0,8,0.4835,23.4027397260274
BLUESTONE ESTATES SEC 02,149000,15,0.471,18.4
BLUESTONE ESTATES SEC 03,67500,16,0.467,23.4027397260274
BLUESTONE ESTATES SEC 04,0,9,0.459,23.4027397260274
BLUESTONE ESTATES SEC 05,0,20,0.473,23.4027397260274
BLUESTONE ESTATES SEC 07,103500,4,0.4985,23.4027397260274
BLUESTONE ESTATES SEC 08,0,24,0.485,23.4027397260274
BLUFFS OF THE ENO,127000,36,0.137,15.7164383561644
BON-AIR,1000,62,0.236,23.4027397260274
BONNY HLS SEC 1,0,38,0.4785,22.272602739726
BONNY HLS SEC 2,78500,59,0.472,17.8794520547945
BOONE PLC,168750,4,0.263,4.28767123287671
BOULEVARD CONDOS,0,4,0,5.81095890410959
BOULEVARD HGHTS,81000,77,0.181,12.9315068493151
BOULEVARD HGHTS #2,33000,17,0.187,23.4027397260274
BOULEVARD HGHTS BLK D,104000,6,0.171,16.7342465753425
BRADBURY GLEN,202000,80,0.1875,7.50958904109589
BRADBURY TRACE,178500,174,0.131,6.79178082191781
BRAGTOWN HGHTS,0,17,1.499,10.4219178082192
BRANDI FRST,0,16,0.515,6.2
BRASSFIELD,0,5,0.866,3.38904109589041
BRASSFIELD LT 03 CONDOS,0,7,0,3.38904109589041
BRASSFIELD LT 06 CONDOS,197500,14,0,14.0602739726027
BRASSFIELD LT 07 CONDOS,0,17,0,12.1369863013699
BRASSFIELD LT 09 CONDOS,0,7,0,
BRASSFIELD LT 10 CONDOS,0,5,0,
BRASSFIELD LT 11 CONDOS,460000,10,0,
BRECKENRDG LOTS 02-24,124250,26,0.087,8.39452054794521
BRECKENRDG LOTS 25-44,107000,21,0.088,17.3068493150685
BRECKENRDG TW P01,86000,13,0.031,3.49178082191781
BRECKENRDG TW P02,80000,21,0.027,21.2986301369863
BRECKENRDG TW P03 BL09,101000,8,0.027,11.1260273972603
BRECKENRDG TW P03 BL10-12,95500,24,0.028,23.4027397260274
BRECKENRDG TW P04 BL07,0,7,0.028,23.4027397260274
BRECKENRDG TW P04 BL08,71000,7,0.028,23.4027397260274
BRENTWOOD SEC 1,66500,6,0.4935,13.6890410958904
BRENTWOOD SEC 3,137750,12,0.519,23.4027397260274
BRENTWOOD SEC 4,71250,24,0.5195,12.0986301369863
BRENTWOOD SEC 5,0,13,0.53,23.4027397260274
BRIARDALE,205000,45,0.478,15.7260273972603
BRIARDALE EXT,96000,7,0.673,20.0547945205479
BRIARDALE PH 2 SEC B,194750,10,0.449,18.2123287671233
BRIARDALE SEC 2,208000,36,0.3925,12.5931506849315
BRIDGEFIELD SEC 1,55000,2,0.247,18.3753424657534
BRIDGEFIELD SEC 3,53750,2,0.186,9.71643835616439
BRIDGEFIELD SEC 4,40000,8,0.195,0.556164383561644
BRIDGEFIELD TWNHMS,68000,6,0.028,13.0849315068493
BRIER CRK TWNHMS PH 01,192000,34,0.045,4.54520547945206
BRIER CRK TWNHMS PH 02,208500,67,0.044,3.63835616438356
BRIER CRK/ALEXANDER VLG @,3884000,5,1.813,1.70684931506849
BRIER VLG P1/3/OPN SPC-SF,223000,73,0.087,5.04109589041096
BRIER VLG P2(PATIO HM)-SF,224000,44,0.0875,5.65890410958904
BRIER VLG P3-----------TW,193500,43,0.05,5.44931506849315
BRIGHTLF@PK/TR 01/PH01&03,359750,44,0.289,5.54520547945206
BRIGHTLF@PK/TR 01/PH02,350000,43,0.271,5.53972602739726
BRIGHTLF@PK/TR 01/PH04&05,290250,54,0.2765,6.95616438356164
BRIGHTLF@PK/TR 01/PH06&07,412000,40,0.316,2.91780821917808
BRIGHTLF@PK/TR 02/PH01,324250,44,0.246,4.54794520547945
BRIGHTLF@PK/TR 05/PH01,325000,47,0.215,4.92191780821918
BRIGHTLF@PK/TR 05/PH02,343000,43,0.213,5.44657534246575
BRIGHTLF@PK/TR 06,409000,16,0.2655,3.05205479452055
BRIGHTLF@PK/TR 07/PH01,3e+05,40,0.2025,5.28493150684932
BRIGHTLF@PK/TR 07/PH2&3&4,303750,84,0.181,1.91095890410959
BRIGHTLF@PK/TR 08/PH01 TW,175000,61,0.035,3.29041095890411
BRIGHTLF@PK/TR 09,306000,49,0.191,4.79452054794521
BRIGHTLF@PK/TR 10/PH01,354000,31,0.266,9.38630136986301
BRIGHTLF@PK/TR 10/PH02,370000,23,0.287,4.62191780821918
BRIGHTLF@PK/TR 10/PH03,381000,49,0.259,4.46575342465753
BRIGHTLF@PK/TR 13/PH01A,251000,49,0.156,5.24931506849315
BRIGHTLF@PK/TR 13/PH01B,230000,9,0.154,6.37260273972603
BRIGHTLF@PK/TR 13/PH02,232000,36,0.146,2.65342465753425
BRIGHTLF@PK/TR 13/PH03,256000,41,0.17,9.7972602739726
BRIGHTLF@PK/TR 13B/PH01A,316000,42,0.1865,4.2041095890411
BRIGHTLF@PK/TR:13B/PH:03,316000,67,0.172,3.20821917808219
BRIGHTLF@PK/TR:13B/PH:4&5,327500,67,0.206,1.67808219178082
BRIGHTLF@PK/TR08/PH:4A/TW,199250,50,0.04,2.66849315068493
BRIGHTLF@PK/TR08/PH:4B/TW,213000,52,0.041,1.84657534246575
BRIGHTLF@PK/TR08/PH2&3/TW,179250,66,0.039,3.86301369863014
BRIGHTLF@PK/TR13B/PH1B&2,332750,56,0.193,2.82876712328767
BRIGHTON SEC 1,93250,20,0.161,8.8958904109589
BRIGHTON SEC 2,93000,38,0.2185,14.3835616438356
BRIGHTWD TRL PH 01,218500,62,0.1885,6.55342465753425
BRIGHTWD TRL PH 02,262000,91,0.185,4.36986301369863
BRIGHTWD TRL PH 03,221000,55,0.173,3.2958904109589
BRIGHTWD TRL PH 04,273750,18,0.2025,3.24520547945206
BRIGHTWD TRL PH 05,285500,47,0.184,2.62602739726027
BRIGHTWD TRL PH 06,280500,51,0.191,3.7013698630137
BRITISH WDS SEC 1,0,47,0.305,16.5369863013699
BRITISH WDS SEC 2,0,33,0.284,19.6027397260274
BRITNEY DEV,217000,35,0.436,19.8369863013699
BRITTANY WDS PH 02,125000,23,0.376,8.8
BRITTANY WDS PH 02-A,64500,8,0.37,19.213698630137
BRITTANY WDS PH 03-A,0,13,0.37,16.1
BRITTANY WDS PH 03-B,0,16,0.4105,23.4027397260274
BRITTANY WDS PH 04,121250,12,0.367,16.8917808219178
BRITTNEY WDS,0,20,0.367,15.2109589041096
BROADACRES SEC 1,77000,54,0.188,14.2904109589041
BROADACRES SEC 2,23000,4,0.196,3.38904109589041
BROADACRES SEC 3,64500,32,0.221,5.62739726027397
BROADACRES SEC 4,76000,24,0.171,5.16301369863014
BROGDEN HGHTS,155000,11,0.535,9.8
BROGDEN HGHTS SEC 1,137750,48,0.464,23.4027397260274
BROGDEN HGHTS SEC 2,129000,19,0.459,17.8958904109589
BROGDEN HGHTS SEC 3,0,6,0.5005,23.4027397260274
BROGDEN HGHTS SEC 4,134500,20,0.459,15.5520547945205
BROGDEN HGHTS SEC 5,0,33,0.474,16.5534246575342
BROGDEN HGHTS SEC 6,143500,36,0.4685,23.4027397260274
BROOK HOLLOW,92500,18,0.4915,9.54657534246575
BROOKHAVEN SEC 01,128750,6,0.2325,0.791780821917808
BROOKHAVEN SEC 02,0,16,0.267,23.3602739726027
BUCK CROSSING PH 1,279000,29,0.241,5.03972602739726
BUCK CROSSING PH 2,250000,16,0.249,14.4575342465753
BURGESS HLS,0,35,0.315,23.4027397260274
BUTTONWD ACRES S-01,82500,36,0.35,8.36986301369863
BUTTONWD ACRES S-02A,0,11,0.337,20.6246575342466
BUTTONWD ACRES S-02B MP-1,45000,28,0.3435,6.38356164383562
BUTTONWD ACRES S-02B MP-2,126750,60,0.3475,16.0575342465753
BYWOOD SEC 2,70000,4,0.46,23.4027397260274
CABES MILL OPN SPC,0,1,0.733,21.5506849315069
CABES MILL SEC 1,148000,7,0.264,0.791780821917808
CABES MILL SEC 2,156250,10,0.2875,23.0712328767123
CABES MILL SEC 3,147500,7,0.195,14.0424657534247
CALLENDER ESTATES PH 1,51000,8,1.065,8.6986301369863
CALLINA SMITH PLACE CONDO,0,1,0.343,32.1342465753425
CALUMET HILL,120000,16,0.2725,18.7657534246575
CAMBERLY,122000,21,0.317,13.958904109589
CAMBRDG @ WYNDCRS TWN PH3,163000,47,0.043,13.386301369863
CAMBRDG @ WYNDCRS TWN PH4,0,8,0.048,2.38904109589041
CAMBRDG CMN OFC PK CD/B-A,85000,5,0,21.1369863013699
CAMBRIDGE VILLAGE,4700000,84,0.158,
CAMERON GROUND,0,9,11.841,1.29315068493151
CAMERON WOODS PH 01,309000,31,0.285,11.5904109589041
CAMERON WOODS PH 02,339000,45,0.313,12.4671232876712
CAMPUS HILLS,0,44,0.2675,19.3506849315069
CAMPUS OAKS CONDOS,75000,21,0,3.80547945205479
CAMPUS WALL OFC CD,0,1,0.817,
CANADIAN COURT,249000,7,0.486,10.1684931506849
CANDLEWICK,146500,25,0.282,5.28493150684932
CANDLEWICK BUNGALOWS@,149500,14,0.2315,13.3041095890411
CANNADA AVENUE,72000,18,0.219,8.33424657534247
